City,State,Population,Area,Density,Lat,Lng
Garland,Texas,242507,57,4122,32.9098,-96.6303
Grand Prairie,Texas,194614,72.3,2637,32.6869,-97.0211
Houston,Texas,2325502,637.5,3613,29.7866,-95.3909
Irving,Texas,242242,67,3557,32.8577,-96.97
Killeen,Texas,149103,53.5,2680,31.0777,-97.732
Laredo,Texas,261639,101.1,2544,27.5604,-99.4892
League City,Texas,106244,51.2,1992,29.4901,-95.1091
Lewisville,Texas,106586,36.7,2852,33.0466,-96.9818
Lubbock,Texas,255885,124.6,2027,33.5656,-101.8867
McAllen,Texas,143433,58.4,2435,26.2322,-98.2464
McKinney,Texas,191645,63,2735,33.1985,-96.668
Mesquite,Texas,142816,47.2,3045,32.7629,-96.5888
Midland,Texas,142344,74.4,1809,32.0246,-102.1135
Odessa,Texas,120568,45.2,2608,31.8838,-102.3411
Pasadena,Texas,153219,43.5,3525,29.6586,-95.1506
Pearland,Texas,122149,46.3,2453,29.5558,-95.3231
Plano,Texas,288061,71.7,3990,33.0508,-96.7479
Richardson,Texas,120981,28.6,3963,32.9723,-96.7081
Round Rock,Texas,128739,35.6,3396,30.5252,-97.666
San Angelo,Texas,100215,59.9,1681,31.4411,-100.4505
San Antonio,Texas,1532233,461,3238,29.4724,-98.5251
Sugar Land,Texas,118600,34,3488,29.5994,-95.6142
Tyler,Texas,105729,56.6,1852,32.3173,-95.3059
Waco,Texas,138183,89,1510,31.5601,-97.186
Wichita Falls,Texas,104576,72.2,1450,33.9067,-98.5259
Provo,Utah,116702,41.7,2803,40.2453,-111.6448
Salt Lake City,Utah,200591,111.2,1742,40.7769,-111.931
West Jordan,Utah,116046,32.3,3520,40.6024,-112.0008
West Valley City,Utah,136401,35.5,3847,40.6885,-112.0118
Burlington,Vermont,42899,10.3,4122,44.4758,-73.2119
Alexandria,Virginia,160530,15,10387,38.8201,-77.0841
Chesapeake,Virginia,242634,338.5,703,36.6794,-76.3018
Hampton,Virginia,134313,51.5,2629,37.048,-76.2971
Newport News,Virginia,178626,69.1,2631,37.0762,-76.522
Norfolk,Virginia,244076,53.3,4599,36.923,-76.2446
Richmond,Virginia,228783,59.8,3732,37.5314,-77.476
Virginia Beach,Virginia,450189,244.7,1850,36.78,-76.0252
Bellevue,Washington,147599,33.5,4221,47.5979,-122.1565
Everett,Washington,111262,33.3,3275,47.9566,-122.1914
Kent,Washington,129618,33.7,3784,47.388,-122.2127
Renton,Washington,102153,23.4,4314,47.4761,-122.192
Seattle,Washington,744955,83.8,8405,47.6205,-122.3509
Spokane,Washington,219190,68.7,3144,47.6669,-117.4333
Tacoma,Washington,216279,49.7,4251,47.2522,-122.4598
Vancouver,Washington,183012,46.9,3728,45.6349,-122.5957
Charleston,West Virginia,47215,31.5,1498,38.3472,-81.6333
Huntington,West Virginia,46048,16.2,2903,38.4208,-82.4236
Green Bay,Wisconsin,104879,45.4,2316,44.5207,-87.9842
Kenosha,Wisconsin,100164,28,3577,42.5822,-87.8456
Madison,Wisconsin,258054,77,3280,43.0878,-89.4299
Milwaukee,Wisconsin,592025,96.2,6186,43.0633,-87.9667
Casper,Wyoming,57461,26.5,2179,42.85,-106.325
Cheyenne,Wyoming,63957,28.5,2233,41.1456,-104.8019
